CaseID,concern_bomb,concern_cyber,severity_bomb,severity_cyber,publicKnow_bomb,publicKnow_cyber,expertKnow_bomb,expertKnow_cyber,cas_bomb,cas_cyber,likely_bomb,likely_cyber,risk_bomb,risk_cyber,DOV_XPARTY7,DOV_IDEO,DOV_REL2,PPAGE,ppagect4,PPEDUCAT,PPETHM,PPGENDER,PPINCIMP,PPREG4,ppreg9,PPNET,KnowGen,Pol_econ,Pol_survMusl,Pol_force,Pol_screenUS,Pol_screenForg,Pol_immig,Pol_refugME,Pol_trackPh,issue_econ,issue_immig,issue_debt,issue_energy,issue_health,issue_climate,issue_terror,issue_envi,issue_ineq,issue_women,inform_papers,inform_Fox,inform_CNN,inform_MSNBC,inform_network,inform_online,inform_radio,inform_socialMedia,safetyGen,Fear_self,Fear_family,Fear_friend
2,2,1,4,1,2,2,2,2,4,2,2,2,3,2,6,4,5,32,2,2,2,1,2,3,5,1,1,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,2,2,2
3,2,3,3,3,3,3,3,3,2,3,3,2,3,3,6,2,4,31,2,1,4,1,15,4,8,0,2,3,3,,4,3,3,3,4,2,4,3,2,3,3,2,3,3,2,3,3,,1,1,2,3,1,3,3,3,3
4,2,2,4,4,1,1,1,2,4,5,2,2,2,2,2,5,4,30,2,4,1,1,17,1,2,1,2,3,1,2,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2
5,3,4,3,4,3,2,2,2,3,5,3,2,3,4,5,3,5,31,2,4,1,0,15,2,3,1,1,2,1,4,2,3,3,5,1,4,4,4,3,2,4,2,4,2,2,2,2,1,1,2,3,1,3,2,1,1,1
6,2,2,3,3,3,3,3,3,3,4,2,2,3,3,7,4,2,58,3,4,2,0,19,3,5,1,2,3,2,1,3,4,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,1,3,2,2,2
7,3,1,3,2,1,1,1,2,5,3,4,2,5,3,1,6,5,60,4,2,1,0,16,1,2,1,1,1,3,4,5,5,5,5,5,4,4,4,1,2,1,3,1,1,2,2,3,1,1,2,1,2,1,2,1,2,2
8,2,2,3,3,2,1,2,2,2,2,2,1,2,2,2,6,5,68,4,3,1,0,15,3,5,1,1,2,2,3,5,5,5,4,5,3,3,3,2,3,2,3,2,2,3,1,2,3,2,3,1,1,2,3,1,2,1
9,1,1,1,2,2,2,3,3,2,1,1,1,1,1,1,7,4,36,2,4,3,1,13,3,5,1,1,2,3,3,2,2,2,5,1,4,4,4,2,2,1,2,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1
10,4,4,4,3,4,2,4,3,5,5,4,4,4,3,5,1,5,34,2,2,4,1,10,3,7,1,2,3,3,2,4,3,1,2,4,3,4,2,3,3,3,4,4,2,4,3,4,4,1,3,2,2,3,4,2,2,2
11,3,2,4,3,4,2,4,4,5,1,3,1,5,2,5,6,1,44,2,1,1,0,10,1,2,0,3,2,4,3,4,5,3,4,4,3,3,2,2,4,1,4,2,2,1,4,1,1,1,1,4,2,1,4,2,2,2
12,4,2,3,3,3,1,3,3,4,5,,2,4,4,6,2,6,29,1,4,1,1,12,1,1,0,3,3,1,1,3,3,1,1,2,2,2,2,2,2,2,4,3,2,4,3,1,3,3,2,3,2,3,3,2,3,3
13,2,2,4,3,2,1,2,2,4,5,2,1,2,2,7,1,5,51,3,4,3,1,19,4,9,1,2,3,1,2,1,2,1,1,2,3,2,2,3,2,3,2,2,3,3,2,1,2,1,1,2,3,2,2,2,2,2
14,3,2,4,3,3,2,3,3,3,5,4,3,4,4,2,4,4,49,3,2,1,1,2,3,6,0,3,2,2,3,5,5,5,4,5,2,2,3,3,3,2,2,2,3,1,3,1,1,2,3,1,2,1,3,2,3,3
